content,score
"Game nya bagus,grafik bagus,dan size game nya juga ga berat,ceritanya juga sesuai, ada satu keluhan nya dibagian bug kadang di tap dibagian analog suka ga kegeser terus dibagian menu juga kadang di tap ga respon dan bug dibagian loading tiba2 padahal sinyalnya bagus banget cuman itu keluhan saya di perbaiki lagi masalah bug",5
"Tolong dong ini bugnya loadingnya bikin emosi sudah relol beberapa kali tetap aja bgt , biasa cuma suaranya ke dengar tapi Masi di tempat loading , kalo jaringan kayanya tidak mungkin karena kalo game lain , lancar jaya aja , Jadi tolong di bantu 🙏",4
"Maaf untuk bintang 1nya, soalnya saya tiap baru masuk atau beberapa menit saat lagi quest tiba-tiba black screen, atau freeze. Jadi saya harus relog lagi dan kadang bisa kadang juga tetap freeze. Mohon untuk developer diperbaiki lagi gamenya terimakasih",1
"Dari segi game bagus, hanya masih banyak bugnya yang bikin orang main tidak nyaman & harus nunggu, entah loading screennya yang terlalu lama pas sudah masuk ruang utama / mode gate/dungeon bisa 1-2 menit (untuk ganti"" menu lain bisa setengah menit); stuck di loading & biasa di akhir bermain sehingga harus di restart gamenya; touch kadang hilang waktu battle; in-game hunter bisa hilang 1 bahkan semua & kadang tombol dash tidak bisa digunakan, dan masih banyak lagi. Tolong diperbaiki lagi bugnya.",3
"Semuanya bagus, tinggal event terbaru nya kadang kadang stuck di screen loading, jadi saat pas selesai loading screen nya jadi gelap (seharusnya saat screen nya gelap langsung muncul di in game nya, tapi ditunggu yah ga muncul muncul) tolong perbaiki Netmarble, tolong banget karena ganggu juga saat ingin log in lagi kadang ga mau masuk, sama karena stuck di loading screen nya juga",3
"Bug loading screen dari awal tutorial, sudah berkali kali saya keluar masuk game tapi tetap saja setiap login kembali bug loading muncul kembali. Padahal saya ingin mencoba game ini untuk pertama kalinya, tapi ternyata bug loading ini sudah muncul dari awal tutorial. Terpaksa Saya uninstall",1
"Tolong untuk segera diperbaiki masalah bug, saya sebagai pemain merasa kesal karena beberapa bug yang sering muncul, antara lain stuck loading screen, bug jaringan dimana setelah mengalahkan boss story tidak dapat melakukan tap untuk finishing ultimate dan loading lobby, yang setiap membuka fitur menu selalu mengalami load.. bisa di bayangkan harus mengulang stage setelah mengalahkan boss yang dibilang sulit karena ada bug tersebut... Tapi untuk yang lainnya dari segi game bisa dibilang oke.",2
"game nya sudah bagus, cuman satu aja. saya minta saran ke developer bener masalah grafik nya. kaya masih ter lihat berat di gunakan di ponsel HP, kalau di PC memang lancar grafik nya. beda di ponsel, kalau di ponsel hanya merek tertentu aja lancar nya terimakasih.",4
"Saya suka dengan gamenya sama seperti animasi animenya, manhwanya dan novelnya juga.. tapi sayang dalam gamenya terlalu banyak error' dan bug pula, sulitnya pemain meningkatkan party power dan Hero power yg mengakibatkan sulitnya menyelesaikan 1 stage, dan loading serta buffer yg terlalu lama dan sering muncul.. saya rasa harus diperbaiki terlebih dahulu sebelum mengedepankan grafik dan grafisnya, jika sistem dalam game jelek, akan berpengaruh kepada setiap aspek dalam game... Not fun game ""but""",2
"Sebenarnya bagus dari sisi grafik. Tapiasih sering bug terjadi kadang saat loading macet, kadang setelah menyelesaikan 1 misi gak bisa dipencet, mau keluar loby gabisa, dsb. Mohon segera diperbaiki supaya kenyamanan dalam gameplay para pemain lebih enak dan seru.. terimakasih.",2
"Ini game udah saya mainkan cukup lama dan sudah meraih banyak sekali pengalaman bermain,dan cukup menegangkan di setiap permainan,tp knp saat ini muncul bug yg sll mengganggu kenyamanan player,apakah pihak develop tidak melihat atau berusaha memperbaiki kendalan player,,, Jika memang tidak di perhatikan mending out dr playstore...",1
"Game bagus dengan segudang BUG yang tidak pernah di perbaiki. Setiap kali update bukannya menjadi lebih baik malah menjadi lebih buruk. Sepertinya pembaharuan dilakukan bukan untuk mengurangi atau bahkan menghilangkan masalah (bug) tetapi malah menambah bug lain lagi, LUAR BIASA..",1
"Download datanya gj asli kadang dari ulang sampe 3x, Tapi ya masih ok lah gamenya Tetap kembangin game nya walaupun sedikit kecewa karena masih bayak bug lainnya mulai dari black screen sampe stack loading setelah bermain",3
"Banyak bug dan eror saat ingin masuk akun, juga saat masuk ke permainan kadang black screen, stuck loading. Dan mohon grafik nya di perbaiki.. masa berat game 6 gb an grafik normal udah patah patah.. padahal game sebelah rata kanan normal normal aja.. tapi overall ini game nya bagus dari segi karakter dan gameplay, juga saya suka saat menggunakan skill ultimate nya. Saya kasih bintang 4 dulu..",4
"Tolong update nya yang akan datang nanti, saya mohon agar masalah seperti stuck saat loading di perbaiki kembali, kadang game terhenti berjalan tanpa beberapa hal yang tidak di ketahui... Semoga bisa menghilangkan masalah masalah yang kebanyakan terjadi dalam game,, , saya sangat mencintai game ini, , dan sangat di sayangkan kalau performa game nya tidak di perbaiki, , Makasih..",5
"Bintang 1 dulu, masih banyak bug, seperti macet di loading saat masuk gate, terus sinyal bagus, pake wifi, sering muncul loading yang muter itu ditengah layar, gacha nya hard banget, terus sering kalah rate off, sialan",1
"awal mainin game ini emang terdapat beberapa bug, kaya black screen, loading lama, dll. tapi setelah ga nyerah nyoba beberapa hari login lagi akhirnya bug² kaya gitu udah gaada. sekarang udah bisa nikmatin gamenya, mana keren lagii♡",5
"untuk gamenya sangat"" seru dan gameplay nya pun juga enak tpi minusnya cuma sering ngebug pada saat loading harus relog"" trus dan akhirnya jadi males maen. tolong kedepannya di perbaiki agar pengguna hp tetep main🙏🏻🙏🏻🙏🏻",3
"Tolong diperbaiki bug loading dan perbaiki bug black screen, padahal game nya bagus udh keren gameplay ny, tapi bug nya kaga pernah di perbaiki dari awal rilis, Tolong para dev untuk memperbaiki bug tersebut demi kenyamanan para pemain lainnya",1
"Terlalu banyak bug dan erornya sampai hampir bosan miannya, padahal seharusnya cerita, grafik dan gamenya bagus. Kelemahannya cuma sering bug dan eror. Juga teman"" yang suka sama game ini tolong kasi bintang maksimal 3. Harapannya ada perbaikan lagi kedepannya.",2
Saya sudah main game ini sampe level 69...sejauh ini sih seru ngikutin misi2 nya setiap hari...tapi yg bikin kesel..kadang2 muncul loading pas lgi battle..jdi ga bsa di pencet skil2 nya....tlong di perbaiki lagi bug2 yang sejenis ini.,3
"dari segi game bagus, grafik lumayan memanjakan mata, dari segi gameplay lumayan asik gak terlalu kaku, cuman akhir akhir ini ada bug di settingan controller gak bisa di ubah dan bahasa nya jadi bhs korea, meskipun udh ganti bahasa tetap saja jadi bhs korea, hal ini membuat main kurang nyaman dikarenakan analog nya gak bisa di setting seperti sebelumnya. mohon segera di fixs agar main jadi lebih nyaman dan enak, terimakasih",3
"Gamenya sudah bagus tp yang sangat disayangkan masih banyak bugnya dari stuck loading, jual artefak gak bisa, dll. Dari awal rilis loh sampe saat ini masih seperti itu hadeh apaan dah bikin emosi dan bosan",1
"Masih terdapat banyak bug. 1. Ketika loading screen sering macet bhkan sampe 1 jam, sehingga harus relogin dari awal,(padahal hp gw bisa tahan main ghensin lo🗿 ) 2. Ketika melakukan tim up dengan hunter, hunter yg dipilih sebanyak tiga namun yg datang ke battle field hanya dua 3. Yigriite juga kadang gk ikut ke battle padahal dah ke pasang di lobby.",4
padahal abis update malah eror loading dan koneksi tidak stabil padahal udah pake data udah ganti ke wifi gak bisa masuk sama sekali jaringannya aman semua padahal.,1
"Tadinya mau download lagi ini game tapi gimana ya Padahal akunnya bagus dan sering hoky Tapi entah kenapa udah kesekian kalinya aku download tapi tetep masih banyak bug nya tolonglah ini game aslinya bagus kalau normal, Aslinya suka tapi malas mau menyelesaikan misi aja loadingnya harus keluar dulu baru masuk lagi Padahal handphone mending lah ram 8/128 Tapi kenapa harus begini tolong perbaiki biar para pemainnya semangat menyelesaikan misinya",2
"terlalu banyak tuntutan, entah jaringan ataupun spek device. Game moba yg sizenya hampir 7gb aja ga sampe begini tuntutannya, dan 1 hal lagi yaitu ini kan rpg bisa di pause otomatis memberikan suasana yang santai. Tapi dengan tuntutan diatas malah bikin orang emosi, dikit2 buffering, stuck loading screen (masuk/selesai event). Tambahan, bisa tolong sistem rate of nya di minimalisir lagi karena itu menyebalkan waktu udah rate up 64+ justru dapet yang diluar keinginan. Keren kah?",2
"Ada beberapa bug yg harus dibenarkan, saya memakluminya karena ini game baru. Bugnya antara lain: loading yg stack, layar yg tiba² hitam (tidak pernah muncul lagi setelah saya menyesuaikan grafik), tidak adanya monster dalam battle yang mengharuskan login ulang, wujud karakter yang hilang saat di menu hunter. Mungkin hanya itu bug yg saya temui ketika bermain game ini. Overall gamenya bagus dan saya menantikan developer game melakukan pengembangan untuk game ini kedepannya.",3
"Semua game ny bagus tapi kekurangannya setiap update bug selalu gk di urus dari bug stuck loading screen,karakter tiba tiba ilang,tiba tiba keluar map. Tolong lah di benerin biar nyaman saat bermainnya. Satu lagi gold di game ini rada kurang, banyakin gold nya klo abis salvage dll.",4
"Game play nya sih udah bagus. . Segi grafik juga udah OK. Tapi ada beberapa kendala yang saya rasakan saat maen ini game. Sering terjadinya loading pas setiap kali kita keluar / balik lagi ke home utama, mana lumayan juga loading nya paling kisaran 3 - 5 detik. Terus kurangnya farming bahan dan gold buat chance senjata dan artefak. Mungkin kalau level masih di bawah 35 - 40 msh ok lah, Tapi pas udah masuk ke lvl 50, kebanyakan player laen kendalanya juga sama, kurang nya gold dan bhn enchance.",3
Gua kira gua doank yg sering kena bug loading karna mikir spek hp nya kurang untuk main game ini.. Ternyata pas dicek di playstore rata2 komplain masalah bug di screen loading. Tolong developer diperbaiki lagi bug loading nya.. Karna hp saya ram 8 GB main genshin aja masih aman dan mulus.,3
"Tolong banget buat Tim DEVELOPER SOLO LEVELING ARISE, buat memperbaiki bug yang sering terjadi (Khususnya di handphone) karena Bug loading stuck screen sungguh sangat meresahkan dan sangat mengganggu Mood dalam bermain, memang banyak yang mengakui bahwa game ini sungguh sangat luar biasa bhebat nya, dan mungkin karena masih akses awal di android OS ataupun di IOs, game ini menjadi belum optimal, maka dari itu pihak developer untuk memperbaiki masalah stuck loading screen.... Terimakasih banyak.",2
"Katanya udah bisa pake gamepad, apaan?? Aku sudah sambungkan gamepad ku, malah tidak terdeteksi 🤦🏻‍♂️. Bahkan menggunakan controller stik juga tidak bisa. Sekalian buat fitur reset level. Agar hunter bisa direset levelnya dan dipindahkan ke hunter lian.",4
"Setelah update terbaru gk ada perubahan sama sekali bug loading screen, tombol gk bisa ditekan/gerakin, musuh masih suka ngilang, dan entah mengapa semenjak update terbaru ini game lebih berat ke fitur dari pada in game nya, setiap x buka halaman Hunter atau halaman apapun itu berat banget sedangkan waktu in game lancar gk se lag dilobby/halaman utama. Untuk admin nya mungkin jangan tambahin karakter atau senjata baru dulu kenyamanan pemain juga diperhatiin 🙏",2
"Untuk grafis segi cerita dan lainnya udah oke, yg jadi kekurangan hanya di loading home buat ngeselin sih menurut ku, dan juga level dari si karakter lumayan lama buat naikin di tambah lagi damage dari stage² sangat besar jauh perbedaan untuk di normal stage padahal sudah pakai senjata SSR pun damage total blm smpe rekomendasi, tolong perbaiki bug yg ada, Terimakasih.",4
"Sangat disayangkan. Game ini terasa seperti game live cloud, kebanyakan loading, masih suka stuck tidak bisa ditekan tombol dan yg lainnya. Kadang sudah loading lama dan sound sudah masuk mode pertempuran tapi layar masih hitam dan lagi2 memaksa untuk restar ulang. Yang tadinya merasa ini game bagus dari segi cerita dan grafik karna mirip animenya atau komiknya. Tp semua itu harus dipatahkan oleh bug yang terjadi dimana2.",3
"Terlalu banyak bug in game. loading stuck, basic attack manual mode sering tidak bisa di tap. Tolong lah fokus dulu ke bug in gamenya, jangan cuman ngadain event2 yang itu pun selalu mononton itu2 saja.",2
"Dari segi grafik, sangat bagus, dari story sama seperti di anime, tetapi yang membuat kurang nyaman adalah pada loading screen/proses loading yang lama, dan dimana² (sebagai contoh, dari halaman ""menu"" dan kembali ke lobby, pasti akan ada loading sekitar 3-5 detik) itu yang mengganggu, mungkin kedepannya bila bisa mempersingkat loading atau bahkan menghilangkan ""loading"", bisa menjadikan player lebih nyaman dan betah bermain Solo Leveling : Arise",3
"Game nya bagus sih.. Tapi tolong diringankan lagi dari segi grafiknya, padahal saya main game yang berat lancar² aja tapi kenapa saat saya main game inih agak patah² padahal settingan grafik rata kiri 60 fps tolong dong diringankan lagi grafik nya",4
"Overall bagus dari sisi story, grapic, dan karakter game nya sama seperti manwha asli nya. Tapi tolong bug nya diperbaiki saja setiap login dan setelah penyelesaian boss, dungeon, story, dan lain-lain kadang ada saja muncul bug nya.",5
"Udh mantap dari segi grafik dan pertarungan tetapi masih lumayan banyak bugnya, mohon lebih diperhatikan lagi developer,. Ya ampun udh relog seribu kali tetap saja gak bisa main nih game entah apa masalahnya, tolong yg punya link atau solusi tepat kirim ke aku...",5
Dari segi game play dan story udh bagus banget tapi ada bug yg bikin saya kesel jadi males nya yaitu 1. Bug loading screen jdi kita tiap mau masuk in game selalu nge stuck di loading screen jdi harus relog hp lgi 2.Bug damage tidak masuk padahal semua skill saya sudah mengenai target dan malah di tidak ada damage sama sekali ke target otomatis buang buang waktu dan ngulang skill lgi 3. Bug baru hari ini ya itu bug kamera jadi mau nyerang boss malah yang kena target ya itu kroco kroco nya!!!!!!!!,2
"Pake Kuota lancar tp masih loading ketika kembali ke lobby setelah beralih fitur, Blm di Fix smpai saat ini, dan satu lagi... Masih drop sinyal saat dimainkan menggunakan WiFi (ping merah) kecepatan turun drastis, padahal selain game ini semua lancar.... Gua kasih BINTANG Satu karena tidak ada upgrade utk faktor kenyamanan, semua masih sama...",1
"Masih banyak bug di dalam game, terkadang saat memulai satage ketiga loading nya pasti tertahan, padahal jaringan ku normal loh. Normal kembali kecuali login ulang, mohon lebih di perhatikan lagi bug di dalam gamenya. Itu sj terimakasih",3
"Menurutku ini game bagus dari segi grafik maupun gameplay,tapi perlu diperhatikan lagi bug2 yang ada,contohnya ketika dilobby terus buka event ataupun pengaturan dan close tiba2 ada tanda loading,tapi sejauh ini okelah mungkin karena game masih baru juga jadi masih ada beberapa bug",5
"Terlalu banyak bug dan loading, baru keluar sebentar loading lagi, baru masuk pertarungan loading lagi, baru ngecek misi loading lagi. Dan kebanyakan bug nya terdapat pada loading screennya, seperti loading screen yang tiba tiba menghitam, loading screen yang menyangkut di pertengahan, padahal jaringanku lancar. Kami harap kepada developer untuk segera memperbaiki masalah ini, karena ketika kami menemukan bugnya kami harus mengulangi game nya beberapa kali, dan itu memakan waktu yang lama.",2
"Ini kapan mau perbaikan bug loading nya . Dikit² bug loading . Jadi buat males lama² maen nya . Terlalu banyak drama bug loading . Tak kira hp saya yg chipsetnya snap 720 yg masalah , di coba pake hp laen dengan chipset snap 800++ sama aj bug loading nya",2
"Game nya keseluruhan bagus bgt cuma selain bug loading apa bisa saat bertarung untuk tidak digunakan batas waktu? , karena sebenarnya walaupun level yang ada dan level musuh jauh berbeda sebenarnya bisa dikalahkan seperti yang ada di anime nya. Hanya saja kita harus main kejar kejaran dengan waktu oleh karena itu kita jadi kalau. jadi tolong jangan digunakan batas waktu agar pertarungan menjadi semakin menegangkan. Sekian",4
Game yg penuh bug nggak jls seperti: 1. Stuck in loading pertempuran 2. Stuck di dalam tanah 3. Stuck in loading intro game 4. Kita stuck harus banget mengulang kembali login/relogin bikin nggak nyaman banget ayolah pihak studio sistem operasi nya diperbaiki / di update kembali jangan hanya mementingkan grafik game kalau performa sistem operasi nya kurang seperti yg saya keluhkan. SANGAT PENTING UNTUK MEMENTINGKAN KENYAMANAN DALAM BERMAIN BUKAN HANYA PENAMPILAN YANG OKE TAPI STANDAR LOADING BUG,1
"Gamplay bagus hadiah ga terlalu pelit, tapi 1. Bug loading ga jalan 2. Bug freeze di loading tapi suara game udah masuk di pertarungan 3. Bug hero tim aliansi tidak muncul( misal harusnya 3 chara tapi di gameplay cuma bisa pakai 1/2) 4. Bug bantuan pasukan bayangan hilang ketika masuk gameplay 5. Bug semua hero jadi sama (misal 3 hero alicia semua) 6. Bug loading layar hitam ketika restart gameplay 7. Bug masuk gameplay tapi latarnya tembus dan tidak character tidak bisa digerakkan Dst",3
"tolong perbaiki bug nya kurang nyaman mainnya, dari stuck loading berkali2 dan saat ingin ultimate skill terakhir ke boss sering ga bisa padahal ngelawannya susah payah Tambahan : saya pikir setelah update bugnya bakal diperbaiki, ternyata tidak, sy sudah cukup sabar sm main di hp sy yang sedikit ngeframe jangan ditambah mood jelek sy sm bug yang dari awal rilis ga pernah diperbaiki, nanti kalo dh bener ku kasi bintang 5",1
"untuk gameplay sih ku kasih bintang 5, tapi kurangnya banyak banget di sistem gamenya. habis loading selalu macet harus relog terus terusan, kalo ga di perbaiki ini gamungkin bisa nyaman maininnya. tolong segera di perbaiki!!! saya kurangin rating saya dulu, karna ini game makin parah gabisa di nikmatin buat main enjoy. selalu ada stuck dan harus relog, setelah relog juga pasti ada stuck/bug lagi!!!! sumpah loh dari awal rilis sampe sekarang 7 juni itu stuck di loading masih belum di perbaiki???",1
"gw sih mainnya enjoy2 aja, tapi bug loading nya agak meresahkan. apalagi pas main cerbe, kena serangannya, eh melayang gk turun2 wkwk, untung kuncinya masih utuh pas retry., gw tau ini game banyak bansos, agak ramah f2p, ditambah top upnya worth it semua, tapi di fix lah bugnya (khususnya di hp), soalnya gw liat org main di pc, gk kena bug apa2",4
"Game dengan bug yang paling banyak dan sering terjadi, game sampah baru main sekali langsung bug harus relog terus menerus dari black screen, loadingterus menerus, stuck di loading screen, ngga bisa di gerakin, hanya terdengar suara aja dan masih banyak bug lainnya, ini developernya ngga bisa kerja atau testernya ngga kompeten game banyak bug masih bisa launching, coba cek lagi di device POCO F4 5G.",1
"habis update kok malah nggak bisa masuk ya,, selalu berhenti di 70-80 % loadingnya,, di tungguin lama bangat nggak naik2, di tutup teus buka ulang juga masih sama saja,, kalau update tolong dong di perbaiki lag-nya,, padahal sebelum update masih bisa masuk, meski sering lag, bintanya aku turunin dari 5 ke 3 bintang,, kalau sudah mendingan, udh bisa main lagi baru aku kasi balik bintang 5-nya,",3
Sebenarnya game nya bagus banget tapi kekurangan nya sering bug seperti saat loading tapi malah loading nya ga berhenti henti ternyata loadingnya jadi harus keluar game buat atur kembali dan juga saat main game sering banget mau lawan boss malah jadi hitam layarnya mohon diperbaiki,3
"Saran dipermudah lagi untuk memperkuat karakter, karna mc dan hunter gw dah punya stats yg bagus tapi masi gak tembus damagenya yg dimana harus perlu dupe lebih dan itu sedikit menyusahkan untuk player F2P. Dan itu cuma saran mau gimanapun gw F2P yg gak terlalu berpengaruh dalam pengembangan game. Kalo untuk yg lain dah bagus dan puas banget, Terimakasih.",5
"Hi Developer, perbaiki sistem dalam pengunduhan DATA GAME, karena pengunduhan terasa sangat berat, pengunduhan harusnya 3-4GB tapi menghabiskan data(jaringan seluler) hingga 10Gb. Setelah itu saat login terasa berat Bagaimana ini?",4
"Gamenya bagus, tetapi terlalu lama loadingnya. Harusnya ada tempat untuk nambah xp bagi yg main seharian, ni sangat susah nambah xp kalau udh lev 45an, harusnya kalau mengulang raid, nambah xp la, akhirnya cuma nunggu 1 hari agar bisa nambah xp, nunggu kunci dungeon dapat dlu, masa iya dikit2 beli. Udah loadingnya terlalu lama dan banyak, d tambah untuk menaikkan xp hunter tidak ada, solusinya hanya beli biar bisa cepat nambah xp, jd gk da gunanya main seharian game ini, nunggu 1 hari dlu,",3
"bug nya banyak banget, apalagi pas mau battle malah stuck loading ga bisa di apa''in alhasil harus relog, males banget, terus pas battle lawannya ga bisa di lock, terus gabisa di hit, apaan coba, tolong semua bug nya diperbaiki",3
"Game ini sudah bagus namun saya saat ke tab event dan keluar dari tab event, loading setiap kali berulang ulang dan baik di tab event maupun di tab Seong Jinwo/hunter dan lainnya. Itu sangat menggangu. Saya sudah mencoba menggunakan 2 jaringan. Yaitu Wifi Dan Data Saluran, Loading itu tetep saja muncul. Tidak tahu dengan player lain, namun saya mengalami itu sering saat bermain.",3
"Permainan udah bagus tpi agar dibuat lebih menarik lagi,grafis bagus tpi untuk android harus pake grafis paling rendah buat main, banyak bug game seperti harus sering re-login di loby terlalu banyak loading, dan yang paling mengganggu pas mau in game ada bug terus ga bisa dipencet apa apa",3
"Gamenya menarik dan juga developer tidak pelit dan banyak hadiahnya. Masih banyak bug seperti halnya tiba-tiba loading ketika battle, ada di battle pass game nge freeze ketika claim. Mohon diperbaiki.",2
Game nya udah bagus grafik ok lah story mah jangan di tanya tinggal nonton aja Tapi ini yg bermasalah dalam game nya - loading terus menerus (jadi setiap ngelakuin sesuatu mau ngapain aja bakal loading saya kayak bisa habisin 10 menitan baru main story + semua loading nya lama banget - suka fps drop (padalan dah rata kiri hp juga lumayan) -masih suka ada bug nha kayak stuck di stag gitu atau stuck di loading screen -pas loading suka freeze tiba tiba dan ini juga lumayan lama Semangat aja ya,2
"game nya bagus.. tapi sayang, banyak banget bug dan sering banget stuck di loading screen. padahal maintenance rutin tapi bug nya kaga ilang2, maintenance nya cuma buat update event doang kah? tolong diperbaiki lah yaa, gua suka ama ini game soalnya.",3
Setelah update 29/5/2024 yang ada hanya tambahan item dan events tidak ada sama sekali perbaikan pada bugs. Masih sering ada bug pada mobile salh satunya seperti stuck loading saat bermain dan ini cukup sering. Saya harap kedepannya jika ada update tidak hanya update item dan event tetapi bug juga diperbaiki,1
"banyak banget bug nya, paling sering di loading, entah itu pas mau login aplikasi ataupun masuk ke permainan seperti gate, kisah dll, sebenernya gamenya bagus, grafiknya bagus, alurnya lumayan, developer juga ga pelit, minus cuma banyak bug aja",3
"Loading in game nge bug, joystick bug,skill(late respon),dungeon instan bug(wolf terakhir sekarat gk keluar lagi dari portal),dll masih banyak mungkin sebagiannya salah hp gw yang gk ngedukung buat main ini game,tapi tetep aja kecewa 😑",2
"Aku kasih bintang satu dulu. Aku nggak tahu mau bilang apa tentang game ini, aku sudah intal-uninstal game ini, dan selalu ada masalah jaringan atau login mumcul. Jaringan aku sudah SANGAT lancar, bahkan buat game rpg dengan grafik tinggi, yah meski kadang ke DC/stuck paling tidak masih bisa dimainin, lah ini, belum main aja udah kesel! Bener² kesel banget, ini game rpg yang kutunggu, bener² INGIN banget aku mainin, tapi ya itu, masalahnya sinyal buruk lah, login gagal lah, capek aku.",1
"Udah update tpi bug loading masih belum juga di benerin, bug loading ny yg bikin malas buat main game nya, setiap mau masuk story, misi rahasia, gate, dungeon instan, pasti kena bug loading dan harus relog, kadang habis relog juga masih kena bug loading, ini bug ngeselin bgt bikin males main, semoga cepet di fix.",5
"game nya bagus,dari segi game play juga bagus enak,dari segi grafik jan di tanya bjirr ini maen game serasa nonton anime resolusi 1080/60,udah gitu banyak gratisan,cuman kurang nya cuman satu sering ada bug ngestack pass di loading screen,sama kalo pass maen di hp sering bet loading pass di loby,udah gitu lama banget,tapi wajar lah game baru masih tahap pengembangan",5
"Gamenya sih sudah sangat bagus tapi sayang bug loading yang suka stack pada saat mau login masih ada, jadi sehari tu bisa puluhan kali login karna ngestack terus loadingnya. Untuk kedepannya saya kasih bintang 5 deh kalau gamenya udah lancar. Terimakasih",3
"Dari segi keseluruhan udah bagus, tapi masih banyak sekali bug dan sering lag yg membuat gamenya tidak bagus lama kelamaan. Dan gachanya selalu ampas gak pernah dapat SSR selalu SR walau sudah sampai 80 gachanya terkadang tidak selalu yg diinginkan, kecewa sekali saya.",1
"kebanyakan bug, masa harus relog lagi relog lagi ga nyaman banget, awal main bug ngelawan lizardman ga muncul, harus ulang lagi ulang lagi, bug ke dua du black screen terus pdhl suaranya ada, heran dah developer nya diem aja, kalo belum full siap mending jangan dulu di rilis, otak atik lagi, yang ada malah kesel nanti kebanyakan bug banyak yang uninstall",1
"Tolong untuk pihak pengembang,akun saya selalu stuck di loading saat mau mengerjakan daily atau saat mau mengerjakan kisah chapter 17, sebelum nya terimakasih banyak. Terkadang di logout lalu masuk lagi akhirnya bisa, tidak jarang juga tetap stuck TERIMAKASIH",5
"Segi grafik, alur cerita bagus Cuman bikin Kesel Rasanya, Setiap mau Jalankan misi, loadingnya lama bgt..... Udah lama, nggak masuk2, harus reload dulu, udah reload game kadang masih aja gak masuk.. Gamenya buat kesel ati",1
"stuck di game tombol tidak bisa di sentuh, saya kira pengaruh jaringan tetapi setelah memakai wifi ternyata sama saja. dan saat ini semua fitur sederhana yang memudahkan player bermain di buat berbayar semua kocak netmarbel, perbaiki dahulu bug bug yang ada baru ngurusin yang lainnya dah kocak kocak..",1
